py,ch,en
hè,赫,"(surname) / awe-inspiring
awe-inspiring / hertz / abbr. for herz hz 赫茲|赫兹[He4 zi1] (cycles per second)"
hè,鹤,"crane
crane"
hēi,黑,"black / dark
black / dark / sinister / secret / shady / illegal / to hide (sth) away / to vilify / (loanword) to hack (computing)"
hēi,嘿,"hey
hey"
hén,痕,"scar / traces
scar / traces"
hěn,很,"very / extremely
(adverb of degree) / quite / very / awfully"
hěn,狠,"fierce / very
fierce / very"
hèn,恨,"to hate
to hate / to regret"
hēng,亨,"prosperous
prosperous / henry (unit of inductance)"
hēng,哼,"hum, (interj. of contempt)
to groan / to snort / to hum / to croon / humph!"
héng,恒,"permanent
variant of 恆|恒[heng2]"
héng,蘅,"Asarum blumei
Asarum blumei (wild ginger plant)"
héng,桁,"pole plate / purlin / ridge-pole
pole plate / purlin (cross-beam in roof) / ridge-pole"
héng,衡,"to weigh / weight / measure
to weigh / weight / measure"
héng,珩,"top gem of pendant from girdle
top gem of pendant from girdle"
héng,横,"horizontal / across / (horizontal character stroke), unruly
harsh and unreasonable / unexpected"
hōng,轰,"explosion / bang / boom / rumble / strike (by thunder or a bomb)
explosion / bang / boom / rumble / to attack / to shoo away / to expel"
hōng,烘,"bake / heat by fire
to bake / to heat by fire / to set off by contrast"
hōng,薨,"death of a prince / swarming
death of a prince / swarming"
hōng,訇,"(surname) / sound of a crash
sound of a crash"
hōng,哄,"resound with laughter, deceive / coax, have a hilarious time / riot
tumult / uproar / commotion / disturbance"
hóng,闳,"(surname) / big / gate
big / gate"
hóng,荭,"herb
herb"
hóng,洪,"flood
flood / big / great"
hóng,宏,"spacious
great / magnificent / macro (computing) / macro-"
hóng,红,"bonus / popular / red / revolutionary
red / popular / revolutionary / bonus"
hóng,弘,"great / liberal
great / liberal"
hóng,泓,"clear / vast and deep
clear / vast and deep / classifier for a body of clear water"
hóng,鸿,"eastern bean goose / great / large
eastern bean goose / great / large"
hóng,虹,"rainbow, rainbow
rainbow"
hòng,蕻,"budding / flourishing
budding / flourishing"
hóu,篌,"(mus. instr.)
(mus. instr.)"
hóu,侯,"marquis
marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4] / nobleman or high official"
hóu,喉,"throat / larynx
throat / larynx"
hóu,瘊,"wart
wart"
hóu,猴,"monkey
monkey / CL:隻|只[zhi1]"
hǒu,吼,"roar (of a lion)
to roar / to howl / to shriek / roar or howl of an animal / bellow of rage"
hòu,候,"wait
to wait / to inquire after / to watch / season / climate / (old) period of five days"
hòu,逅,"meet unexpectedly
to meet unexpectedly"
hòu,堠,"mounds for beacons
mounds for beacons"
hòu,厚,"generous / thick (for flat things)
thick / deep or profound / kind / generous / rich or strong in flavor / to favor / to stress"
hòu,后,"empress / queen / surname, back / behind / rear / afterwards / after / later
back / behind / rear / afterwards / after / later"
hòu,鲎,"king crab
horseshoe crab"
hū,滹,"(surname) / name of a river
surname Hu / name of a river"
hū,惚,"indistinct
indistinct"
hū,忽,"suddenly
to neglect / to overlook / to ignore / suddenly"
hū,呼,"to call / to cry / to shout / to breath out / to exhale
variant of 呼[hu1] / to shout / to call out"
hū,乎,"(interrog. part.)
(classical particle similar to 於|于[yu2]) in / at / from / because / than / (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)"
hú,囫,"whole / in one lump
whole / in one lump"
hú,槲,"oak / Quercus dentata
Mongolian oak (Quercus dentata) / see also 槲樹|槲树[hu2 shu4]"
hú,弧,"arc
arc"
hú,湖,"lake
lake / CL:個|个[ge4],片[pian4]"
hú,胡,"(surname) / beard / what why how, beard / mustache
beard / mustache / whiskers"
hú,鹕,"pelican
pelican"
hú,蝴,"butterfly
butterfly"
hú,斛,"5 pecks (M)
ancient measuring vessel / fifty liters / dry measure for grain equal to five dou 五斗 (before Tang, ten pecks)"
hú,瑚,"coral
coral"
hú,觳,"(measure) / frightened
ancient measuring vessel (same as 斛) / frightened"
hú,壶,"pot / (a measure word)
pot / classifier for bottled liquid"
hú,葫,"Allium scorodoprasum / bottle gourd
Allium scorodoprasum / bottle gourd"
hú,醐,"purest cream
purest cream"
hú,猢,"(monkey)
monkey"
hú,狐,"fox
fox"
gú,鹘,"falcon / migratory bird
falcon / migratory bird"
hú,糊,"muddled / paste / scorched, paste / cream
congee / making a living"
hǔ,虎,"tiger
tiger / CL:隻|只[zhi1]"
hǔ,琥,"amber
amber"
hǔ,浒,"bank of a river
bank of a river"
hǔ,唬,"intimidate / tiger's roar / to fool
a tiger's roar / to scare"
hù,戽,"water bucket for irrigation
water bucket for irrigation"
hù,笏,"tablet held at an audience
(old) ceremonial tablet (held by officials at an audience)"
hù,怙,"presume
to rely on / father (formal)"
hù,岵,"wooded hill
mountain covered with vegetation / the residence of one's father / see also 屺[qi3]"
hù,沪,"Shanghai
short name for Shanghai"
hù,户,"a household / door / family
a household / door / family"
hù,扈,"retinue
retinue"
hù,瓠,"gourd
gourd"
hù,互,"mutual
mutual"
hù,祜,"celestial blessing
celestial blessing"
hù,护,"protect
to protect"
huā,花,"flower / blossom / to spend (money, time) / fancy pattern
variant of 花[hua1] / flower / blossom / also pr. [wei3]"
huā,哗,"crashing sound, cat-calling sound / clamor / noise, clamor / noise
variant of 嘩|哗[hua2]"
huá,骅,"chestnut horse
chestnut horse"
huá,猾,"sly
sly"
huá,铧,"ploughshare / spade
plowshare / spade"
huá,划,"to row, to delimit / to transfer / to assign / to differentiate / to mark off / to draw (a line) / to delete / stroke of a Chinese character
to delimit / to transfer / to assign / to plan / to draw (a line) / stroke of a Chinese character"
huá,华,"(abbreviation for) China / (surname) Hua / magnificent / splendid / flowery, (surname) / name of a mountain
magnificent / splendid / flowery"
huō,豁,"play Chinese finger game, opening / stake all / sacrifice / crack / slit, clear / open / exempt (from) / liberal-minded
clear / open / exempt (from) / liberal-minded"
huà,桦,"Betula japonica
birch tree / Betula japonica"
huà,画,"draw / picture / painting
to draw / picture / painting / CL:幅[fu2],張|张[zhang1] / classifier for paintings etc / variant of 劃|划[hua4]"
huà,话,"dialect / language / spoken words / speech / talk / words / conversation / what someone said
old variant of 話|话[hua4]"
huà,化,"to make into / to change into / -ization / to ... -ize / to transform
to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學|化学[hua4 xue2]"
huái,徊,"irresolute / move back and forth
see 徘徊[pai2 huai2], to dither / to hesitate / to pace back and forth / irresolute"
huái,淮,"name of a river
name of a river"
huái,槐,"Sophora japonica
Chinese scholar tree (Sophora japonica) / Japanese pagoda tree"
huái,踝,"ankle (bone)
ankle"
huái,怀,"to think of / to cherish / mind / heart / bosom
bosom / heart / mind / to think of / to harbor in one's mind / to conceive (a child)"
huài,坏,"bad / spoiled, bad
bad / spoiled / broken / to break down / (suffix) to the utmost"
huān,獾,"badger
variant of 獾[huan1]"
huān,欢,"joyous / happy / pleased
a breed of horse / variant of 歡|欢[huan1]"
huán,洹,"name of a river
name of a river"
huán,鬟,"a knot of hair on top of head
a knot of hair on top of head"
huán,锾,"(ancient measure) / money
ancient unit of weight / money"
huán,萑,"(reeds)
(reeds)"
huán,寰,"large domain
large domain / extensive region"
huán,桓,"(surname) / Sapindus mukurosi
Chinese soapberry (Sapindus mukurossi) / big / pillar (old)"
huán,环,"bracelet / ring (not for finger) / to surround / to loop / loop
ring / hoop / loop / (chain) link / classifier for scores in archery etc / to surround / to encircle / to hem in"
huán,缳,"bind / tie / noose
to bind / to tie / lace / noose (for suicide) / hangman's noose"
yuán,圜,"circle / encircle, circle / round
circle / round"
huǎn,缓,"slow / sluggish / gradual / to postpone
slow / unhurried / sluggish / gradual / not tense / relaxed / to postpone / to defer / to stall / to stave off / to revive / to recuperate"
wǎn,浣,"to wash / to rinse / 10 day period in the month (during Tang dynasty)
variant of 浣[huan4]"
huàn,漶,"indecipherable
indecipherable"
huàn,换,"change / exchange
to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency)"
huàn,幻,"fantasy
fantasy"
huàn,患,"misfortune / suffer (from illness) / trouble / danger / worry / to contract (a disease)
to suffer (from illness) / to contract (a disease) / misfortune / trouble / danger / worry"
huàn,痪,"illness / numbness of the limbs
illness / numbness of the limbs"
huàn,唤,"to call
to call"
huàn,焕,"brilliant / lustrous
brilliant / lustrous"
huàn,豢,"feed pigs and dogs / to rear
to rear / to raise (animals)"
huàn,宦,"an official
imperial official / court eunuch"
huàn,逭,"escape from
to escape from"
huàn,涣,"disperse expansive (of river)
to dissipate / to dissolve"
huàn,奂,"(surname) / excellent
excellent"
huàn,擐,"pass through / to get into (armor)
pass through / to get into (armor)"
huāng,肓,"region between heart and diaphragm
region between heart and diaphragm"
huāng,荒,"out of practice / uncultivated
desolate / shortage / scarce / out of practice / absurd / uncultivated / to neglect"
huāng,慌,"nervous
to get panicky / to lose one's head / (coll.) (after 得) unbearably / terribly"
huáng,黄,"(surname) / sulfur / yellow
yellow / pornographic / to fall through"
huáng,鳇,"sturgeon
sturgeon"
huáng,惶,"frightened
frightened"
huáng,簧,"metallic reed / spring of lock
metallic reed / spring of lock"
huáng,煌,"brilliant
brilliant"
huáng,磺,"sulfur
sulfur"
huáng,徨,"irresolute
irresolute"
huáng,凰,"phoenix
phoenix"
huáng,璜,"semi-circular jade ornament
semi-circular jade ornament"
huáng,潢,"dye paper / lake / pond / mount scroll
dye paper / lake / pond / mount scroll"
huáng,皇,"(surname) / emperor
emperor / old variant of 惶[huang2]"
huáng,篁,"(bamboo) / bamboo grove
(bamboo) / bamboo grove"
huáng,湟,"name of a river
name of a river"
huáng,蝗,"locust
locust"
huáng,隍,"dry moat / god of city
dry moat / god of city"
huáng,遑,"leisure
leisure"
huáng,蟥,"horse-leech
horse-leech"
huǎng,恍,"disappointed / flurried / indistinct
disappointed / flurried / indistinct"
huǎng,谎,"lies / to lie
lies / to lie"
huǎng,幌,"advertising sign
shop sign / (literary) window curtain"
huǎng,晃,"dazzle, sway / to shade
to sway / to shake / to wander about"
hūi,挥,"scatter / wield / wipe away
to wave / to brandish / to command / to conduct / to scatter / to disperse"
hūi,辉,"bright / glorious
splendor / to shine upon"
hūi,恢,"to restore / to recover / great
to restore / to recover / great"
hūi,隳,"destroy / overthrow
destroy / overthrow"
hūi,麾,"signal flag / to signal
signal flag / to signal"
hūi,徽,"insignia
badge / emblem / insignia / crest / logo / coat of arms"
hūi,灰,"gray / ash
ash / dust / lime / gray / discouraged / dejected"
hūi,晖,"bright / radiant
sunshine / to shine upon / variant of 輝|辉[hui1]"
hūi,诙,"whimsical / humorous
whimsical / humorous"
hǔi,虺,"sick / with no ambition, poisonous snakes
mythical venomous snake"
húi,洄,"eddy / whirlpool
eddying / whirling (of water) / to go against the current"
húi,回,"(a measure word for matters or actions) a time / to circle / to go back / to turn around / to answer / to return / to revolve / Islam
variant of 迴|回[hui2]"
húi,蛔,"roundworm / Ascaris lumbricoides
old variant of 蛔[hui2]"
húi,茴,"fennel
fennel / aniseed"
hǔi,毁,"to destroy / to damage / to ruin, blaze / destroy by fire, defame / to slander
variant of 毀|毁[hui3] / to defame / to slander"
hǔi,悔,"regret
to regret"
hùi,荟,"flourish
to flourish / luxuriant growth"
hùi,汇,"remit / to converge (of rivers) / to exchange, class / collection
variant of 匯|汇[hui4]"
hùi,贿,"bribe / bribery
bribe / bribery"
hùi,恚,"rage
rage"
hùi,烩,"cooked in soy and vinegar
to braise / to cook in soy and vinegar / braised / cooked in soy and vinegar"
hùi,慧,"intelligent
intelligent"
hùi,秽,"dirt / filth
dirt / filth"
hùi,诲,"admonish / instruct
to teach / to instruct / to induce"
hùi,卉,"plants
plants"
hùi,缋,"multi-color / to draw
multi-color / to draw"
hùi,讳,"avoid mentioning / to taboo
to avoid mentioning / taboo word / name of deceased emperor or superior"
hùi,晦,"dark / night / unlucky
last day of a lunar month / dark / night"
hùi,绘,"to draw / to paint
to draw / to paint"
hùi,蟪,"(cicada) / Platypleura kaempferi
(cicada) / Platypleura kaempferi"
hùi,蕙,"Coumarouna odorata
Coumarouna odorata"
hùi,彗,"comet
broom"
hùi,惠,"favor / kind act (from above)
favor / benefit / to bestow / (literary) benevolence / (honorific)"
hùi,喙,"beak / to pant
beak / snout / mouth / to pant"
hùi,会,"can / be possible / be able to / to assemble / to meet / to gather / to see / union / group / association, to balance an account / accounting
to balance an account / accountancy / accounting"
hūn,阍,"door-keeper
door-keeper"
hūn,婚,"to marry / marriage / wedding / to take a wife
to marry / marriage / wedding / to take a wife"
hūn,荤,"meat dish
strong-smelling vegetable (garlic etc) / non-vegetarian food (meat, fish etc) / vulgar / obscene"
hūn,昏,"muddle-headed / twilight / to faint / to lose consciousness
old variant of 昏[hun1]"
hún,馄,"Chinese ravioli
Chinese ravioli"
hún,浑,"muddy
muddy / to mix"
hún,魂,"soul
soul / spirit / immortal soul, i.e. that can be detached from the body"
hún,珲,"(fine jade)
(fine jade)"
hùn,混,"confused / dirty / mix, to mix / to get along / thoughtless
to mix / to mingle / muddled / to drift along / to muddle along / to pass for / to get along with sb / thoughtless / reckless"
hùn,溷,"disordered / privy
privy / animal pen / muddy / disordered / to disturb"
hùn,诨,"jest / nickname
jest / nickname"
huó,活,"to live / alive / living / work / workmanship
to live / alive / living / work / workmanship"
huǒ,伙,"assistant / furniture / partner
companion / partner / group / classifier for groups of people / to combine / together"
huó,钬,"holmium
holmium (chemistry)"
huǒ,火,"fire
fire / urgent / ammunition / fiery or flaming / internal heat (Chinese medicine) / hot (popular) / classifier for military units (old)"
huǒ,夥,"assistant / partner / many / great / numerous
many / numerous"
huò,或,"maybe / perhaps / might / possibly / or
maybe / perhaps / might / possibly / or"
huò,藿,"Lophanthus rugosus / beans
Lophanthus rugosus / beans"
huò,霍,"(surname) / cholera
suddenly"
huò,蠖,"looper caterpillar
looper caterpillar"
huò,镬,"boiler or caldron
wok (dialect) / cauldron (old)"
huò,惑,"confuse
to confuse / to be puzzled"
huò,货,"goods / money / commodity
goods / money / commodity / CL:個|个[ge4]"
huò,获,"to catch / to obtain / to capture, reap / harvest
to reap / to harvest"
huò,祸,"disaster
disaster / misfortune / calamity"
jī,讥,"ridicule
to ridicule"
jī,玑,"irregular pearl
irregular pearl"
jī,肌,"flesh / muscle
flesh / muscle"
jī,基,"base / foundation / basic / radical (chem.)
base / foundation / basic / radical (chemistry) / (slang) gay"
jī,嵇,"(surname) / name of a mountain
surname Ji / name of a mountain"
jī,姬,"(surname) / women
woman / concubine / female entertainer (archaic)"
jī,笄,"15 years old / hairpin for bun
15 years old / hairpin for bun"
jī,鸡,"fowl / chicken
fowl / chicken / CL:隻|只[zhi1] / (slang) prostitute"
jī,乩,"to divine
to divine"
jī,屐,"clogs
clogs"
jī,矶,"breakwater / jetty
breakwater / jetty"
jī,叽,"grumble
grumble"
jī,羁,"halter / restrain
variant of 羈|羁[ji1]"
jī,机,"machine / opportunity / secret
machine / engine / opportunity / intention / aircraft / pivot / crucial point / flexible (quick-witted) / organic / CL:臺|台[tai2]"
jī,畿,"territory around the capital
territory around the capital"
jī,齑,"fragment / spices
finely chopped meat or vegetables / powdered or fragmentary"
jī,犄,"ox-horns / wing of an army
ox-horns / wing of an army"
jī,剞,"curved wood graver
curved wood graver"
jī,唧,"(onomat.) / to pump (water)
(onom.) to pump (water)"
jī,饥,"hungry
variant of 飢|饥[ji1]"
jī,积,"to amass / to accumulate / to store / old / long-standing
to amass / to accumulate / to store / measured quantity (such as area of volume) / product (the result of multiplication) / to integrate (math.) / to solve (or integrate) an ordinary differential equation (math.) / old / long-standing"
jī,激,"to arouse / to incite / to excite / to stimulate / sharp / fierce / violent
to arouse / to incite / to excite / to stimulate / sharp / fierce / violent"
jī,箕,"winnow basket
winnow basket"
jī,跻,"go up
to go up (esp. in rank) / to rise / to ascend"
jī,畸,"fractional remains / odd
lopsided / unbalanced / abnormal / irregular / odd fractional remnant"
jí,击,"to hit / to strike / to break
to hit / to strike / to break / Taiwan pr. [ji2]"
jī,几,"small table, almost, a few / how many, how much / how many / several / a few
how much / how many / several / a few"
jī,绩,"merit / accomplishment
to spin (hemp etc) / merit / accomplishment / Taiwan pr. [ji1]"
jī,迹,"footprint / mark / trace / vestige / sign / indication, footprint / trace
variant of 跡|迹[ji4]"
qí,奇,"odd (Num), strange / odd / weird / wonderful
strange / odd / weird / wonderful / surprisingly / unusually"
jī,稽,"inspect / check, bow to the ground
to bow to the ground"
jí,吉,"lucky
lucky / giga- (meaning billion or 10^9)"
jí,瘠,"barren / lean
barren / lean"
jí,极,"extremely / pole (geography, physics) / utmost / top
extremely / pole (geography, physics) / utmost / top"
jí,籍,"(surname) / record / register / native place
book or record / registry / roll / place of one's family or ancestral records / membership"
jí,疾,"sickness / disease / hate / envy
sickness / disease / hate / envy / swift"
jí,急,"hurried / worried
urgent / pressing / rapid / hurried / worried / to make (sb) anxious"
jí,笈,"trunks (for books)
trunks (for books)"
jí,佶,"difficult to pronounce
difficult to pronounce"
jí,棘,"thorns
thorns"
jí,楫,"oar / to row
variant of 楫[ji2]"
jí,蕺,"Houttuynia cordata
Houttuynia cordata"
jí,级,"level / grade / rank / step
level / grade / rank / step (of stairs) / CL:個|个[ge4] / classifier: step, level"
jí,集,"to gather / to collect / collected works
to gather / to collect / collected works / classifier for sections of a TV series etc: episode"
jí,蒺,"Tribulus terrestris
Tribulus terrestris"
jí,汲,"draw water from well
to draw (water)"
jí,嫉,"jealousy / be jealous of
jealousy / to be jealous of"
jí,戢,"collect oneself / put away
to restrain oneself / to collect / to hoard / to store up / to cease"
jí,岌,"lofty peak / perilous
lofty peak / perilous"
jí,殛,"put to death
to put to death"
jí,及,"to reach / and
and / to reach / up to / in time for"
jí,即,"namely / right away / to approach / to draw near
namely / that is / i.e. / prompt / at once / at present / even if / prompted (by the occasion) / to approach / to come into contact / to assume (office) / to draw near"
jí,辑,"gather up / collect / edit / compile
to gather up / to collect / to edit / to compile"
jí,芨,"Bletilla hyacinthina (mucilaginous) / Acronym for the Chinese Elder tree ?草
Bletilla hyacinthina (mucilaginous) / Acronym for the Chinese Elder tree 菫草"
jiè,藉,"in disorder, by means of
sleeping mat / to placate"
jí,亟,"urgent, repeatedly / frequently
repeatedly / frequently"
jǐ,挤,"crowded / to squeeze
to crowd in / to cram in / to force others aside / to press / to squeeze / to find (time in one's busy schedule)"
jǐ,己,"6th heavenly stem / self
self / oneself / sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / sixth in order / letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc / hexa"
jǐ,戟,"a lance with two points
halberd / long handled weapon with pointed tip and crescent blade / combined spear and battle-ax"
jǐ,掎,"drag
drag"
jǐ,麂,"Moschus chinensis
muntjac"
jī,虮,"nymph of louse
nymph of louse"
jí,脊,"spine / back / ridge
spine / back / ridge / Taiwan pr. [ji2] or [ji3]"
jì,季,"season / period
season / the last month of a season / fourth or youngest amongst brothers / classifier for seasonal crop yields"
jì,洎,"to reach / when
to reach / when"
jì,忌,"avoid as taboo / jealous
to be jealous of / fear / dread / scruple / to avoid or abstain from / to quit / to give up sth"
jì,妓,"prostitute
prostitute"
jì,继,"to continue / to follow after / then / afterwards / to go on with / to succeed / to inherit
to continue / to follow after / to go on with / to succeed / to inherit / then / afterwards"
jì,寄,"lodge at / to mail / to send / to entrust / to depend
to send / to mail / to entrust / to depend on / to attach oneself to / to live (in a house) / to lodge / foster (son etc)"
jì,记,"to remember / to note / mark / sign / to record
to record / to note / to memorize / to remember / mark / sign / classifier for blows, kicks, shots"
jì,暨,"and / reach to / the end
and / to reach to / the limits"
jì,蓟,"cirsium / thistle
cirsium / thistle"
jì,纪,"discipline / age / era / period / order / record
order / discipline / age / era / period / to chronicle"
jì,悸,"afraid
to palpitate"
jì,济,"aid / ferry / frugal
to cross a river / to aid or relieve / to be of help"
jì,剂,"dose
dose (medicine)"
jì,霁,"sky clearing up
sky clearing up"
jì,寂,"lonesome
silent / solitary / Taiwan pr. [ji2]"
jì,际,"border / edge / boundary / between / among / interval / while
border / edge / boundary / interval / between / inter- / to meet / time / occasion / to meet with (circumstances)"
jì,计,"to calculate / to compute / to count / reckon / ruse / to plan
to calculate / to compute / to count / to regard as important / to plan / ruse / meter / gauge"
jì,冀,"Hebei / to hope
(literary) to hope for"
jì,既,"already / since / both... (and...)
already / since / both... (and...)"
jì,骥,"thoroughbred horse / refined and virtuous
thoroughbred horse / refined and virtuous"
jì,跽,"kneel
kneel"
jì,芰,"Trapa natans / water caltrop
Trapa natans / water caltrop"
jì,伎,"craft
craft"
jì,鲫,"bastard carp / sand perch
bastard carp / sand perch"
jì,稷,"(millet)
millet / God of cereals worshiped by ancient rulers / minister of agriculture"
jì,技,"skill
skill"
jì,哜,"sip
sip"
jì,鲚,"Coilia nasus
Coilia nasus"
jì,觊,"covet / long for
to covet / to long for"
jié,偈,"Buddhist hymn / gatha / Buddhist verse, forceful / martial
forceful / martial"
qí,荠,"Capsella bursa pastoris, water chestnut
water chestnut"
jì,祭,"offer sacrifice, (surname)
to offer sacrifice / festive occasion"
jiā,枷,"cangue
cangue (wooden collar like stocks used to restrain and punish criminals in China)"
jiā,跏,"sit cross-legged
to sit cross-legged"
jiā,嘉,"excellent
excellent / auspicious / to praise / to commend"
jiā,家,"furniture / tool, -ist / -er / -ian / home / family / a person engaged in a certain art or profession
home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"
jiā,镓,"gallium
gallium (chemistry)"
jiā,痂,"scab
scab"
jiā,袈,"Buddhist monk's robe
Buddhist monk's robe"
jiā,笳,"whistle made of reed
whistle made of reed"
jiā,佳,"excellent
beautiful / fine / good"
jiā,葭,"reed / Phragmites communis
reed / Phragmites communis"
jiā,珈,"gamma / jewelry
gamma / jewelry"
jiā,迦,"Buddha / Shakyamuni
(phonetic sound for Buddhist terms)"
jiā,加,"to add / plus
to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)"
jiā,夹,"clip / folder / hold between / to press from both sides / to place in between, hold between / lined / narrow lane
variant of 夾|夹[jia2]"
xié,挟,"hold between, clasp under the arm / coerce
to clasp under the arm / to coerce"
jiá,恝,"indifferent
indifferent"
jiá,蛱,"butterfly
see 蛺蝶|蛱蝶[jia2 die2]"
jiá,袷,"lined
lined"
jiá,荚,"pod
pod (botany)"
jiá,颊,"cheeks
cheeks"
jiá,郏,"name of a district in Henan
name of a district in Henan"
jiá,戛,"a lance / standing alone
variant of 戛[jia2]"
jiá,铗,"pincers for use at a fire / sword
pincers for use at a fire / sword"
jiǎ,甲,"""A"" (in a sequence of examples involving ""A"", ""B"", ""C"", etc.) / 1st heavenly stem / 1st in order / armor
first of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / (used for an unspecified person or thing) / first (in a list, as a party to a contract etc) / letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc / armor plating / shell or carapace / (of the fingers or toes) nail / bladed leather or metal armor (old) / ranking system used in the Imperial examinations (old) / civil administration unit (old) / ancient Chinese compass point: 75°"
jiǎ,瘕,"obstruction in the intestine
obstruction in the intestine"
jiǎ,胛,"shoulder blade
shoulder blade"
jiǎ,钾,"potassium
potassium (chemistry)"
jiǎ,岬,"cape (geog.)
cape (geography) / headland"
jiǎ,假,"fake / false / artificial / to borrow / if / suppose, vacation
variant of 假[jia3] / to borrow"
jià,驾,"to drive / to draw / to harness / to mount
to harness / to draw (a cart etc) / to drive / to pilot / to sail / to ride / your good self / prefixed word denoting respect (polite 敬辞)"
jià,稼,"sow grain
to sow grain / (farm) crop"
jià,架,"to support / frame / rack / framework / measure word for planes, large vehicles, radios, etc.
to support / frame / rack / framework / classifier for planes, large vehicles, radios etc"
jià,嫁,"marry (a husband)
(of a woman) to marry / to marry off a daughter / to shift (blame etc)"
jià,价,"price / value / valence (on an atom), great / good / middleman / servant
great / good / middleman / servant"
jiān,湔,"cleanse / name of a river
to wash / to redress (a wrong) / name of a river"
jiān,菅,"(grass) / Themeda forsbali
(grass) / Themeda forsbali"
jiān,兼,"double / twice / simultaneous / holding two or more (official) posts at the same time
double / twice / simultaneous / holding two or more (official) posts at the same time"
jiān,坚,"strong / solid / firm / unyielding / resolute
strong / solid / firm / unyielding / resolute"
jiān,鹣,"mythical bird with 1 eye and 1 wing
mythical bird with one eye and one wing / see also 鰈鶼|鲽鹣[die2 jian1]"
jiān,奸,"traitor, adultery
to fornicate / to defile / adultery / rape"
jiān,歼,"annihilate
to annihilate / abbr. for 殲擊機|歼击机, fighter plane"
jiān,戋,"narrow / small
narrow / small"
jiān,鞯,"saddle blanket
saddle blanket"
jiān,缄,"letters / to close / seal
letters / to close / to seal"
jiān,煎,"pan-fry
to pan fry / to sauté"
jiān,肩,"shoulder
shoulder / to shoulder (responsibilities etc)"
jiān,鲣,"bonito
bonito"
jiān,尖,"point (of needle) / sharp / shrewd / pointed
point (of needle) / sharp / shrewd / pointed"
jiān,缣,"thick waterproof silk
thick waterproof silk"
jiān,艰,"difficult / hard / hardship
difficult / hard / hardship"
jiān,蒹,"reed
reed"
jiān,笺,"letter / note-paper
letter / note-paper"
jiān,犍,"bullock
bullock / castrated bull / to castrate livestock"
jiān,监,"hard / strong / solid / firm / to supervise / to inspect / jail / prison, supervisor
supervisor"
jiàn,渐,"imbue, gradual / gradually
gradual / gradually"
jiān,间,"between / among / space / (measure word), interstice / separate
gap / to separate / to thin out (seedlings) / to sow discontent"
qiǎn,浅,"sound of moving water, shallow
shallow / light (color)"
chóng,茧,"cocoon
variant of 繭|茧[jian3]"
jiǎn,减,"to lower / to decrease / to reduce / to subtract / to diminish
to lower / to decrease / to reduce / to subtract / to diminish"
jiǎn,蹇,"(surname) / difficulty / lame
lame / cripple / unfortunate / slow / difficult / nag (inferior horse) / donkey / lame horse"
jiǎn,翦,"cut with scissors / scissors
variant of 剪[jian3]"
jiǎn,剪,"cut with scissors / scissors
scissors / shears / clippers / CL:把[ba3] / to cut with scissors / to trim / to wipe out or exterminate"
jiǎn,戬,"carry to the utmost / to cut
carry to the utmost / to cut"
jiǎn,检,"to check / to examine / to inspect
to check / to examine / to inspect / to exercise restraint"
jiǎn,笕,"bamboo water pipe
bamboo conduit / water pipe of bamboo"
jiǎn,趼,"callous
callus (patch or hardened skin) / corns (on the feet)"
jiǎn,柬,"card / note / letter
card / note / letter / old variant of 揀|拣[jian3]"
jiǎn,俭,"frugal / to be in need
frugal / thrifty / needy"
jiǎn,拣,"choose / pick up
to choose / to pick / to sort out / to pick up"
jiǎn,碱,"alkali / soda
base / alkali / soda (chemistry)"
jiǎn,谫,"shallow / stupid
shallow / superficial"
jiǎn,硷,"base (chem.) / soda / alkali
variant of 鹼|碱, alkali"
jiǎn,謇,"speak out boldly
to speak out boldly"
jiǎn,简,"simple
simple / uncomplicated / letter / to choose / to select / bamboo strips used for writing (old)"
jiǎn,囝,"child
variant of 囡[nan1]"
jiǎn,捡,"pick up / collect / gather
to pick up / to collect / to gather"
jiǎn,睑,"eyelid
eyelid"
jiàn,谏,"admonish
to remonstrate / to admonish"
jiàn,键,"(door lock) key
key (on a piano or computer keyboard) / button (on a mouse or other device) / chemical bond / linchpin"
jiàn,鉴,"example / mirror / to view / reflection / to reflect / to inspect / to warn / (ancient bronze mirror)
variant of 鑑|鉴[jian4]"
jiàn,践,"fulfill (a promise) / tread / walk
to fulfill (a promise) / to tread / to walk"
jiàn,腱,"gristle
tendon / sinew"
jiàn,荐,"recommend (a person)
to recommend / to offer sacrifice (arch.) / grass / straw mat"
