py,ch,en
cuān,撺,rush / stir up / throw / fling / hurry / rage
tǔn,氽,"boil for a short time
to float / to deep-fry"
zǎn,攒,"bring together, collect / hoard
to collect / to hoard / to accumulate / to save"
cuàn,爨,"(surname) / cooking-stove / to cook
cooking-stove / to cook"
cuàn,窜,"flee / escape / run away / leap
to flee / to scuttle / to exile or banish / to amend or edit"
cuàn,篡,"to seize / to usurp
old variant of 篡[cuan4]"
cūi,摧,"break / destroy / devastate / ravage / repress
to break / to destroy / to devastate / to ravage / to repress"
cūi,榱,"small rafter
rafter (classical)"
cūi,崔,"(surname) / high mountain / precipitous
high mountain / precipitous"
cūi,催,"urge / press / expedite / prompt / hurry
to urge / to press / to prompt / to rush sb / to hasten sth / to expedite"
shuāi,衰,"mourning garments, weak / feeble / decline / wane
to decline / to wane / to become weak or feeble"
cǔi,璀,luster of gems
cùi,萃,collect / collection / dense / grassy / thick / assemble / gather
cùi,淬,dip into water / to temper
cùi,悴,"haggard / sad / downcast / distressed
variant of 悴[cui4]"
cùi,粹,pure / unmixed / essence
cùi,毳,crisp / brittle / fine animal hair
cùi,瘁,care-worn / distressed / tired / overworked / sick / weary
cùi,脆,"crisp / brittle / clear and loud voice
brittle / fragile / crisp / crunchy / clear and loud voice / neat"
cùi,翠,bluish-green / green jade
cùi,啐,"sip / spit
to spit / (onom.) pshaw! / (old) to sip"
cūn,皴,chapped / cracked
cūn,村,"village
variant of 村[cun1]"
cún,存,"exist / deposit / store / keep / survive
to exist / to deposit / to store / to keep / to survive"
cǔn,忖,"ponder / consider / guess
to ponder / to speculate / to consider / to guess"
cùn,寸,a unit of length / inch / thumb
cuō,磋,deliberate / to polish
cuō,蹉,"error / slip / miss / err
to error / to slip / to miss / to err"
cuō,撮,"bring together / little bit / shovel / gather up / bring together / pick
classifier for hair or grass: tuft"
cuō,搓,to rub or roll between the hands or fingers / to twist
cuó,痤,acne
cuó,鹾,brine / salt
cuó,嵯,lofty (as of mountain)
cuó,矬,short / dwarfish
cuǒ,脞,chopped meat / trifles
cuò,措,"put in order / arrange / administer / execute / take action on
to handle / to manage / to put in order / to arrange / to administer / to execute / to take action on / to plan"
cuò,锉,"to file, a file (tool for shaping metal) / to file
file (tool used for smoothing) / rasp / to file"
cuò,错,"mistake / error / blunder / fault / cross / uneven / wrong
mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver"
cuò,厝,"bury / to place / dispose
to lay in place / to put / to place a coffin in a temporary location pending burial"
cuò,挫,"be obstructed / fail / oppress / repress / lower the tone / bend back / dampen
obstructed / to fail / to oppress / to repress / to lower the tone / to bend back / to dampen"
dā,褡,"cummerbund
pouch / sleeveless jacket"
dā,哒,(phonetic) / command to a horse / clatter (of horses' hoofs)
dā,搭,"build (scaffolding) / take (boat, train) / hang / join / match / take passage
to put up / to build (scaffolding) / to hang (clothes on a pole) / to connect / to join / to arrange in pairs / to match / to add / to throw in (resources) / to take (boat, train) / variant of 褡[da1]"
dá,答,"to answer / agree, reply / answer / return / respond / echo
reply / answer / return / respond / echo"
dá,靼,(phonetic) / dressed leather
dá,鞑,Tartar / a tribe in China
dá,笪,"(surname) / rough bamboo mat
rough bamboo mat"
dá,怛,distressed / alarmed / shocked / grieved
dá,达,"attain / pass through / achieve / reach / realize / clear / inform / notify / dignity
to attain / to reach / to amount to / to communicate / eminent"
da,瘩,sore / boil / scab
dá,妲,"concubine of last Shang emperor
female personal name (archaic)"
dǎ,打,"dozen, beat / strike / break / mix up / build / fight / fetch / make / tie up / issue / shoot / calculate / since / from
to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from"
dà,大,"big / huge / large / major / great / wide / deep / oldest / eldest, doctor
see 大夫[dai4 fu5]"
dāi,呆,"foolish / stupid / no expression / stay, stay / stupid"
dài,待,"stay / delay, wait / treat / deal with / need / about / intending to do something
to wait / to treat / to deal with / to need / going to (do sth) / about to / intending to"
dǎi,歹,bad / wicked / evil
dǎi,傣,"the Dai minority living in South China
Dai (ethnic group)"
dài,逮,"arrest / catch / seize / until, catch / seize / until
(literary) to arrest / to seize / to overtake / until"
dài,黛,umber-black dye for painting the eyebrow
dài,带,"band / belt / girdle / ribbon / area / zone / region / wear / carry / lead / bring / consists of / show / and
band / belt / girdle / ribbon / tire / area / zone / region / CL:條|条[tiao2] / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise"
dài,袋,a pouch / bag / sack / pocket
dài,代,"substitute / replace / generation / dynasty / geological era / era / age / period
to substitute / to act on behalf of others / to replace / generation / dynasty / age / period / (historical) era / (geological) eon"
dài,怠,idle / lazy / negligent / careless
dài,贷,"lend on interest / borrow / loan / make excuses / pardon / forgive
to lend on interest / to borrow / a loan / leniency / to make excuses / to pardon / to forgive"
dài,岱,"name of a mountain in Shandong
Mt Tai in Shandong / same as 泰山"
dài,埭,dam
dài,迨,"catch / seize / until
until / while"
dài,殆,dangerous / perilous / to endanger / almost / probably / only
dài,戴,"to put on or wear (glasses, hat, gloves etc) / to respect / to bear / to support"
dài,玳,"tortoise shell / turtle
variant of 玳[dai4]"
dān,眈,gaze intently
dān,殚,entirely / to exhaust
dān,丹,red / pellet / powder / cinnabar
dān,儋,carry
dān,耽,"indulge / delay
variant of 耽[dan1]"
dān,聃,ears without rim
dān,箪,round basket for cooked rice
dān,郸,name of a district in Hebei
dàn,瘅,"(disease), to hate
to hate"
dàn,担,"to undertake / to carry / to shoulder / to take responsibility, a picul (133.33 lbs.) / burden / a load / responsibility
picul (100 catties, 50 kg) / two buckets full / carrying pole and its load / classifier for loads carried on a shoulder pole"
dǎn,胆,"the gall / the nerve / courage / guts / gall bladder
gall bladder / courage / guts / gall / inner container (e.g. bladder of a football, inner container of a thermos)"
dǎn,掸,"brush away / dust off / a brush or duster / to dust
to brush away / to dust off / brush / duster / CL:把[ba3]"
dǎn,疸,jaundice
dàn,诞,birth / birthday / brag / boast / to increase
dàn,氮,"nitrogen
nitrogen (chemistry)"
dàn,惮,dread / fear / dislike
dàn,啖,"eat / taste / entice (with a bait)
variant of 啖[dan4]"
dàn,蛋,"egg / oval shaped
egg / CL:個|个[ge4],打[da2] / oval-shaped thing"
dàn,旦,"dawn / morning / day-break / day
dawn / morning / daybreak / day / dan, female roles in Chinese opera (traditionally played by specialized male actors)"
dàn,萏,lotus
dàn,但,but / yet / however / only / merely / still
dàn,淡,insipid / diluted / weak / mild / light in color / tasteless / fresh / indifferent / nitrogen
shí,石,"10 pecks, rock / stone
rock / stone / stone inscription / one of the eight ancient musical instruments 八音[ba1 yin1]"
dàn,弹,"crossball / bullet / shot / shell / ball, impeach / to pluck a string / to play (a stringed musical instrument with fingers)
to pluck (a string) / to play (a string instrument) / to spring or leap / to shoot (e.g. with a catapult) / (of cotton) to fluff or tease / to flick / to flip / to accuse / to impeach / elastic (of materials)"
dàn,澹,"tranquil / placid / quiet, (surname)"
dāng,裆,crotch / seat of a pair of trousers
dāng,当,"to be / to act as / manage / withstand / when / during / ought / should / match equally / equal / same / obstruct / just at (a time or place) / on the spot / right / just at, at or in the very same... / to pawn / suitable / adequate / fitting / proper / replace / represent
at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student)"
dǎng,党,"party, party / association / club / society
party / association / club / society / CL:個|个[ge4]"
dǎng,谠,"advice / counsels
honest / straightforward"
dǎng,挡,"hinder / resist / obstruct / hinder / cover / keep off / a cover / to block / to get in the way of, arrange / put in order
variant of 擋|挡[dang3]"
dàng,菪,henbane
dàng,砀,stone with color veins
dǎng,档,"cross-piece / official records / grade (of goods) / file / records / shelves
official records / grade (of goods) / file / records / shelves / slot / gap / crosspiece / classifier for crosspieces / classifier for events, affairs etc / Taiwan pr. [dang3]"
dàng,宕,dissipated / put off
dàng,荡,"a pond / pool / wash / squander / sweep away / move / shake / dissolute
to wash / to squander / to sweep away / to move / to shake / dissolute / pond"
dāo,忉,grieved
dāo,氘,"deuterium
deuterium 2H / heavy hydrogen, isotope of hydrogen having 1 neutron in its nucleus, so atomic weight 2"
dāo,刀,"knife
knife / blade / single-edged sword / cutlass / CL:把[ba3] / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs"
tāo,叨,"grumble / garrulous, be in receipt of
to receive the benefit of"
dǎo,导,to transmit / to lead / to guide / to conduct / to direct
dǎo,捣,pound / beat / hull / attack / disturb / stir
dǎo,岛,"island
island / CL:個|个[ge4],座[zuo4]"
dǎo,蹈,"tread on / trample / stamp / fulfill
to tread on / to trample / to stamp / to fulfill / Taiwan pr. [dao4]"
dǎo,祷,prayer / pray / supplication
dǎo,倒,"to fall / to collapse / to topple / to change / to fail / bankrupt, upset / turn over / to tip / to pour / to go home / to the contrary / inverted
to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation"
dào,悼,"mourn / lament
to mourn / to lament"
dào,道,"direction / way / method / road / path / principle / truth / reason / skill / method / Tao (of Taoism) / a measure word / to say / to speak / to talk
road / path / CL:條|条[tiao2],股[gu3] / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)"
dào,纛,big banner / feather banner or fan
dào,盗,"steal / rob / plunder / a thief / bandit / robber
to steal / to rob / to plunder / thief / bandit / robber"
dào,稻,paddy / rice (Oryza sativa)
dào,到,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)
chóu,焘,cover over / to envelope
de,的,"(possessive particle) / of, really and truly, aim / clear
aim / clear"
dǐ,底,"(possessive part.) / (subor. part.), background / bottom / base
background / bottom / base / end (of the month, year etc) / remnants / (math.) radix / base"
dì,地,"(subor. part. adverbial) / -ly, earth / ground / field / place / land
earth / ground / field / place / land / CL:片[pian4]"
dé,德,"Germany / virtue / goodness / morality / ethics / kindness / favor / character / kind
variant of 德[de2]"
dé,得,"obtain / get / gain / proper / suitable / proud / contented / allow / permit / ready / finished, a sentence particle used after a verb to show effect / degree or possibility, to have to / must / ought to / to need to
to have to / must / ought to / to need to"
dēng,登,"scale / climb / ascend / mount / go up / register / note / to publish / to issue / to record
to scale (a height) / to ascend / to mount / to publish or record / to enter (e.g. in a register) / to press down with the foot / to step or tread on / to put on (shoes or trousers) (dialect) / to be gathered and taken to the threshing ground (old)"
dēng,簦,"large umbrella for stalls
large umbrella for stalls / an ancient kind of bamboo or straw hat"
dēng,灯,"lamp / light
lamp / light / lantern / CL:盞|盏[zhan3]"
děng,戥,small steelyard for weighing money
děng,等,"class / rank / grade / equal to / same as / wait for / await / et cetera / and so on
class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once"
dèng,邓,"Deng (Xiaoping)
surname Deng"
dèng,嶝,path leading up a mountain
dèng,磴,cliff-ledge / stone step
dèng,瞪,"stare at
to open (one's eyes) wide / to stare at / to glare at"
dèng,凳,"bench / stool
variant of 凳[deng4]"
dēng,镫,stirrup
dèng,蹬,"step into (as tight shoe)
to step on / to tread on / to wear (shoes) / (slang) to dump (sb) / Taiwan pr. [deng4]"
dī,羝,billy goat / ram
dī,堤,"dike
variant of 堤[di1]"
dī,低,to lower (one's head) / to let droop / to hang down / low / to incline / beneath / low
dī,滴,a drop / to drip
dí,镝,"dysprosium
arrow or arrowhead (old)"
dǐ,氐,"name of an ancient tribe, foundation / on the whole
foundation / on the whole"
tí,提,"carry (suspended), to carry / to lift / to put forward / (upwards character stroke) / lifting (brush stroke in painting) / to mention
to carry (hanging down from the hand) / to lift / to put forward / to mention / to raise (an issue) / upwards character stroke / lifting brush stroke (in painting) / scoop for measuring liquid"
dí,涤,to wash / to cleanse
dí,笛,flute
dí,嫡,first wife / son of first wife
dí,迪,"direct / follow
to enlighten"
dí,狄,"(surname) / barbarians / name of a tribe
low ranking public official (old)"
dí,荻,"Anaphalis yedoensis
Anaphalis yedoensis (pearly everlasting reed) / used in Japanese names with phonetic value Ogi"
dí,籴,buy up (grain)
dí,敌,"enemy / match
enemy / to be a match for / to rival / to resist / to withstand"
dí,觌,face to face
dí,嘀,"backbite
(onom.) sound of dripping water, a ticking clock etc"
dí,翟,"long-tail pheasant, (surname)"
dǐ,抵,"hold up / on the whole / push against / to support / to resist / to reach / to arrive / mortgage
to press against / to support / to prop up / to resist / to equal / to balance / to make up for / to mortgage / to arrive at / to clap (one's hands) lightly (expressing delight) (Taiwan pr. [zhi3] for this sense)"
dǐ,诋,to defame / to slander
dǐ,邸,"(surname) / lodging-house
residence of a high-ranking official / lodging-house"
dǐ,柢,foundation / root
dǐ,砥,baffle (pier) / whetstone
dì,帝,emperor
dì,睇,"look down upon
to look down upon (classical) / to see / to look at (Cantonese) / Mandarin equivalent: 看[kan4]"
dì,第,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)
(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just"
dì,弟,"younger brother
variant of 悌[ti4]"
dì,碲,tellurium (chemistry)
dì,棣,Kerria japonica
dì,谛,to examine / truth (Buddhism)
dì,缔,closely joined / connection / knot
dì,娣,wife of a younger brother
dì,递,"to hand over / to pass / to give
to hand over / to pass on sth / to gradually increase or decrease / progressively"
dì,蒂,"stem (of fruit)
variant of 蒂[di4]"
diān,掂,"weigh in the hand
to weigh in the hand / to estimate"
diān,巅,summit
diān,滇,"Yunnan
abbr. for Yunnan Province 雲南|云南[Yun2 nan2] in southwest China"
diān,颠,"inverted / jolt / top
top (of the head) / apex / to fall forwards / inverted / to jolt"
diān,癫,"convulsions / crazy
mentally deranged / crazy"
diǎn,碘,"iodine
iodine (chemistry)"
diǎn,点,"(downwards-right convex character stroke) / o'clock / (a measure word) / point / dot / (decimal) point)
point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"
diǎn,踮,"tip toe
to stand on tiptoe / Taiwan pr. [dian4]"
diǎn,典,"canon / dictionary
canon / law / standard work of scholarship / literary quotation or allusion / ceremony / to be in charge of / to mortgage or pawn"
diàn,殿,palace hall
diàn,坫,stand for goblets
diàn,玷,blemish / disgrace / flaw in jade
diàn,奠,"libation
to fix / to settle / a libation to the dead"
diàn,靛,indigo pigment
diàn,惦,"think of, remember, miss
to think of / to remember / to miss"
diàn,簟,fine woven grass mat
diàn,淀,"shallow water, sediment / precipitate
sediment / precipitate"
diàn,甸,"imperial domain / suburb
suburbs or outskirts / one of the five degrees of official mourning attire in dynastic China / official in charge of fields (old)"
diàn,癜,erythema / leucoderm
diàn,电,electric / electricity / electrical
diàn,佃,"farmer
to cultivate / to hunt"
diàn,垫,"pad / cushion / mat
pad / cushion / mat / to pad out / to fill a gap / to pay for sb / to advance (money)"
diàn,店,inn / shop / store / CL:家[jia1]
diàn,钿,"gold inlaid work, gold inlaid work
(dialect) money / coin"
diàn,阽,"dangerous, dangerous
dangerous / also pr. [yan2]"
diāo,貂,"sable / marten
sable or marten (genus Martes)"
diāo,鲷,"pagrus major
porgy / pagrus major"
diāo,刁,artful / wicked
diāo,碉,"Tibetan stone house
rock cave (archaic)"
diāo,凋,withered
diāo,叼,"(v) hold sth in the mouth
to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)"
diāo,雕,"engrave, engrave / shrewd, golden eagle
bird of prey"
diào,掉,"to drop / to fall
to fall / to drop / to lag behind / to lose / to go missing / to reduce / fall (in prices) / to lose (value, weight etc) / to wag / to swing / to turn / to change / to exchange / to swap / to show off / to shed (hair) / (used after certain verbs to express completion, fulfillment, removal etc)"
diào,钓,to fish with a hook and bait
diào,吊,"to hang a person, condole with / hang
a string of 100 cash (arch.) / to lament / to condole with / variant of 吊[diao4]"
diào,调,"mode (music) / to move (troops) / tune / tone / melody / to transfer, harmonize / reconcile / blend / suit well / provoke / incite
to harmonize / to reconcile / to blend / to suit well / to adjust / to regulate / to season (food) / to provoke / to incite"
yáo,铫,"pan with a long handle, (surname) / weeding tool
weeding tool"
diē,爹,dad
diē,跌,to drop / to fall / to tumble / Taiwan pr. [die2]
dié,蹀,"tread on
to tread on / to stamp one's foot"
dié,喋,flowing flood / to chatter
dié,牒,(official) document / dispatch
dié,堞,battlements
dié,谍,to spy
dié,垤,anthill / mound
dié,叠,"fold up / repeat
to fold / to fold over in layers / to furl / to layer / to pile up / to repeat / to duplicate"
dié,迭,alternately / repeatedly
dié,蝶,"butterfly
butterfly / CL:隻|只[zhi1]"
dié,碟,dish / plate
diè,耋,aged / in one's eighties
dīng,丁,"(surname) / 4th heavenly stem / a Chinese surname
fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / fourth in order / letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 195° / butyl / cubes (of food)"
dīng,盯,"stare / gaze
to watch attentively / to fix one's attention on / to stare at / to gaze at"
dīng,仃,alone
dīng,玎,jingling / tinkling
dīng,疔,boil / carbuncle
dīng,叮,"sting (of mosquito) / to ask
to sting or bite (of mosquito, bee etc) / to say repeatedly / to urge insistently / to ask repeatedly / to stick to a point / (onom.) tinkling or jingling sound"
dīng,钉,"nail
to join things together by fixing them in place at one or more points / to nail / to pin / to staple / to sew on"
dǐng,酊,intoxicated
dǐng,顶,"go against / most / peak / top / to replace / to substitute / a measure word (use with ""hat"")
apex / crown of the head / top / roof / most / to carry on the head / to push to the top / to go against / to replace / to substitute / to be subjected to (an aerial bombing, hailstorm etc) / (slang) to ""bump"" a forum thread to raise its profile / classifier for headwear, hats, veils etc"
dǐng,鼎,"tripod
ancient cooking cauldron with two looped handles and three or four legs / pot (dialect) / to enter upon a period of (classical) / Kangxi radical 206 / one of the 64 hexagrams of the Book of Changes"
dìng,锭,"ingot
(weaving) spindle / ingot / pressed cake of medicine etc / classifier for: gold and silver ingots, ink sticks"
dìng,定,to set / to fix / to determine / to decide / to order
dìng,碇,anchor
dìng,订,"to agree / to conclude / to draw up / to subscribe to (a newspaper, etc.) / to order"
dìng,啶,"-d + ine (chem.)
idine (chemistry)"
tǐng,铤,"ingot, big arrow / walk fast
big arrow / walk fast"
dīu,丢,to lose / to put aside / to throw
dīu,铥,"thulium
thulium (chemistry)"
dōng,氡,"radon
radon (chemistry)"
dōng,咚,boom (of a drum)
dōng,冬,"winter
(onom.) beating a drum / rat-a-tat"
dōng,鸫,thrush / Tardus fuscatus
dōng,东,"east
east / host (i.e. sitting on east side of guest) / landlord"
dǒng,董,"(surname) / supervise / to direct / director
to supervise / to direct / director"
dǒng,懂,to understand / to comprehend
dòng,动,"to use / to act / to move / to change
(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞|动词[dong4 ci2], verb"
tōng,恫,frighten
dòng,冻,"to freeze
to freeze / to feel very cold / aspic or jelly"
dòng,洞,"cave / hole
cave / hole / zero (unambiguous spoken form when spelling out numbers) / CL:個|个[ge4]"
dòng,栋,"roof beam
classifier for houses or buildings / ridgepole (old)"
dòng,胴,large intestine / torso
tōng,侗,"(ethnic group), ignorant
ignorant"
dōu,兜,"pocket
old variant of 兜[dou1]"
dū,都,"all / both (if two things are involved) / entirely (due to)each / even / already, (surname) / metropolis / capital city
capital city / metropolis"
dǒu,蚪,tadpole
dǒu,陡,"steep
steep / precipitous / abrubtly / suddenly / unexpectedly"
dǒu,抖,"shake out / tremble
to tremble / to shake out / to reveal / to make it in the world"
dǒu,斗,"Chinese peck, to fight / to battle / to struggle / to incite, fight / incite
variant of 鬥|斗[dou4]"
dòu,逗,"linger
to stay / to stop / to tease (play with) / amusing / short pause in reading aloud, equivalent to comma (also written 讀|读[dou4])"
dòu,痘,"small pox
pimple / pustule"
dòu,窦,"(surname) / sinus (anatom.)
hole / aperture / (anatomy) cavity / sinus"
dòu,豆,"bean / peas, bean / sacrificial vessel
bean / pea / CL:棵[ke1],粒[li4] / sacrificial vessel"
dú,读,"comma / phrase marked by pause, to read / to study
to read / to study / reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
dū,嘟,toot / honk / to pout
dū,督,"supervise
to supervise and direct / army title (archaic)"
dú,犊,calf / sacrificial victim
dú,渎,"ditch / trouble (some one to do)
disrespectful / (literary) ditch"
dú,黩,blacken / constantly / to insult
dú,毒,"poison / narcotics
poison / to poison / poisonous / malicious / cruel / fierce / narcotics"
dú,髑,skull
dú,牍,documents
dú,椟,cabinet / case / casket
dú,独,alone / independent / single / sole / only
dú,碡,"stone roller
stone roller (for threshing grain, leveling ground etc) / Taiwan pr. [du2]"
dǔ,赌,to bet / to gamble
dǔ,睹,"observe / see
old variant of 睹[du3]"
dǔ,笃,serious (illness) / sincere / true
dǔ,堵,"stop up
to stop up / (to feel) stifled or suffocated / wall / classifier for walls"
dù,肚,"tripe, belly
belly"
dù,蠹,"bookworm / Lepisma saccharina
insect that eats into books, clothing etc / moth-eaten / worm-eaten"
dù,渡,to cross / to pass through / to ferry
dù,镀,-plated / to plate
dù,杜,"(surname) / fabricate / restrict / to prevent
birchleaf pear (tree) / to stop / to prevent / to restrict"
dù,妒,"jealous
variant of 妒[du4]"
dù,度,"capacity / degree / standard
to estimate / Taiwan pr. [duo4]"
duān,端,"end / extremity / item / port / to hold sth. level with both hands / to carry / regular
old variant of 端[duan1] / start / origin"
duǎn,短,"lack / short
short / brief / to lack / weak point / fault"
duàn,断,"absolutely / decidedly (in negative constructions) / break / to judge
to break / to snap / to cut off / to give up or abstain from sth / to judge / (usu. used in the negative) absolutely / definitely / decidedly"
duàn,椴,"Hibiscus syriacus
Chinese linden (Tilia chinensis)"
duàn,缎,satin
duàn,锻,"forge / wrought / to discipline
to forge / to discipline / wrought"
duàn,段,"(surname) / paragraph / section / segment
paragraph / section / segment / stage (of a process) / classifier for stories, periods of time, lengths of thread etc"
dūi,堆,"a pile / a mass / heap / stack
to pile up / to heap up / a mass / pile / heap / stack / large amount"
dùi,对,"couple / pair / to be opposite / to oppose / to face / for / to / correct (answer) / to answer / to reply / to direct (towards sth) / right
right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple"
dùi,兑,"to cash
to cash / to exchange / to add (liquid) / to blend / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing swamp / ☱"
dùi,碓,pestle / pound with a pestle
dùi,憝,dislike / hate
dùi,队,squadron / team / group / CL:個|个[ge4]
dùi,怼,dislike / hate
dūn,蹲,"crouch / squat
to crouch / to squat / to stay (somewhere)"
dūn,墩,"block / gate pillar / pier
old variant of 墩[dun1]"
dūn,敦,"kind-hearted, kind-hearted / place name"
dūn,礅,stone block
dùi,镦,upsetting (forged pieces)
dūn,吨,"ton, ton
ton (loanword) / Taiwan pr. [dun4]"
dǔn,趸,wholesale
dǔn,盹,doze / nap
dùn,钝,blunt / stupid
tún,炖,"stew slowly, stew
to stew"
dùn,遁,"disappear / to escape
variant of 遁[dun4]"
dùn,盾,"shield
shield / (currency) Vietnamese dong / currency unit of several countries (Indonesian rupiah, Dutch gulden etc)"
dùn,沌,confused / turbid
dùn,顿,"a time / jerk / stop / meal / bout / spell / (measure for beating)
to stop / to pause / to arrange / to lay out / to kowtow / to stamp (one's foot) / at once / classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
dùn,囤,"bin for grain, to store / hoard
to store / hoard"
duō,咄,"noise of rage, cry out in anger
(old)(interjection expressing disapproval, commiseration etc) tut! / Taiwan pr. [duo4]"
duō,哆,quiver / woolen cloth
duō,多,"many / much / a lot of / numerous / multi-
many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how"""
duó,铎,large ancient bell
duó,夺,"rob / snatch
to seize / to take away forcibly / to wrest control of / to compete or strive for / to force one's way through / to leave out / to lose"
duǒ,朵,"M for flowers
variant of 朵[duo3]"
duǒ,躲,"avoid / get out of way / to hide / to go into hiding
to hide / to dodge / to avoid"
duǒ,垛,"battlement / target, pile
variant of 垛[duo3]"
duò,惰,lazy
duò,剁,"chop (meat)
to chop up (meat etc) / to chop off (sb's hand etc)"
duò,舵,helm / rudder
duò,堕,"degenerate / fall
to fall / to degenerate"
duò,跺,"(v) stamp one's foot
to stamp one's feet"
tuó,驮,"carry on back, carry on back
to carry on one's back"
ē,婀,graceful / willowy / unstable
ē,屙,to defecate
é,莪,"zedoary
zedoary (Curcuma zedoaria), plant rhizome similar to turmeric"
é,讹,"error / exhort / false
variant of 訛|讹[e2]"
tiě,锇,"osmium
osmium (chemistry)"
é,娥,good / beautiful
é,峨,"lofty / name of a mountain
variant of 峨[e2]"
é,俄,suddenly / very soon / Russian
é,鹅,"goose
variant of 鵝|鹅[e2]"
é,额,"volume / amount / quantity / forehead / quota
forehead / horizontal tablet or inscribed board / specified number or amount"
é,蛾,moth
hé,蚵,"oyster
oyster (Taiwanese)"
é,哦,"to chant, oh is that so
sentence-final particle that conveys informality, warmth, friendliness or intimacy / may also indicate that one is stating a fact that the other person is not aware of"
è,恶,"nauseated, evil, to hate / to loathe
to hate / to loathe / ashamed / to fear / to slander"
è,饿,to be hungry / hungry / to starve (sb)
è,轭,"restrain / yoke
to restrain / to yoke"
è,垩,to whitewash / to plaster
è,遏,"to stop / check
to restrain / to check / to hold back"
è,噩,startling
è,锷,blade edge / sharp
è,厄,"distressed
variant of 厄[e4]"
è,颚,jaw / palate
è,鳄,crocodile / alligator
è,谔,honest speech
è,扼,"hold (strategic position)
variant of 扼[e4]"
è,鹗,"fish eagle / fish hawk / osprey
(bird species of China) western osprey (Pandion haliaetus)"
è,萼,"stem and calyx of flower
old variant of 萼[e4]"
è,愕,startled
è,鄂,"hupeh
abbr. for Hubei Province 湖北省[Hu2 bei3 Sheng3] in central China / surname E"
è,呃,"hiccough
(exclamation) / to hiccup"
è,阏,"shut / stop, first wives of xiong-nu chiefs
see 閼氏|阏氏[yan1 zhi1]"
ēn,恩,"kind act (from above)
favor / grace / kindness"
嗯,嗯,"(a groaning sound)
interjection indicating approval, appreciation or agreement"
èn,摁,to press (with finger)
ér,鲕,caviar / fish roe
ér,而,"and / as well as / but (not) / yet (not) / (shows causal relation) / (shows change of state) / (shows contrast)
and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)"
ér,鸸,"emu
see 鴯鶓|鸸鹋[er2 miao2]"
ér,儿,"son, non-syllabic dimi. suff.
non-syllabic diminutive suffix / retroflex final"
ěr,珥,pearl or jade earring
ěr,尔,thus / so / like that / you / thou
ěr,饵,"bait / cakes
pastry / food / to swallow / to lure / bait / lure"
ěr,迩,"near
recently / near / close"
èr,铒,"erbium
erbium (chemistry)"
ěr,耳,"ear
ear / handle (archaeology) / and that is all (classical Chinese)"
ěr,洱,"name of a river
see 洱海[Er3 hai3]"
èr,二,"two / 2
two / 2 / (Beijing dialect) stupid"
èr,贰,"two (fraud-proof)
two (banker's anti-fraud numeral) / to betray"
èr,佴,assistant
fā,发,"to send out / to show (one's feeling) / to issue / to develop, hair
hair / Taiwan pr. [fa3]"
fá,乏,short of / tired
fá,筏,raft (of logs)
fá,阀,"clique / valve
powerful individual, family or group / clique / (loanword) valve"
fá,罚,"to punish / to penalize
variant of 罰|罚[fa2]"
fá,伐,"(v) cut down; fell / (v) dispatch an expedition against; descend upon
to cut down / to fell / to dispatch an expedition against / to attack / to boast / Taiwan pr. [fa1]"
