,ch,py,en
965,烟,yan1,cigarette/tobacco/smoke
966,授,shou4,to teach/to instruct/to award/to give
967,诺,nuo4,to promise/to yes
968,伦,lun2,human relationship
969,岸,an4,bank/shore/beach/coast
970,奥,ao4,obscure/mysterious
971,唐,tang2,Tang dynasty (618-907)
972,卖,mai4,to sell
973,俄,e2,suddenly/very soon/Russian
974,炸,zha2/zha4,"fry, explode"
975,载,zai3/zai4,"year, to carry/to convey/to load/to hold/and/also/as well as/simultaneously"
976,洛,luo4,(surname)/name of a river
977,健,jian4,healthy
978,堂,tang2,(main) hall/large room
979,旁,pang2,beside/one side/other/side/self
980,宫,gong1,palace
981,喝,he1/he4,"my goodness/to drink, shout applause"
982,借,jie4,to lend/to borrow/excuse/pretext/by means of
983,君,jun1,monarch/lord/gentleman/ruler
984,禁,jin1/jin4,"endure, to prohibit/to forbid"
985,阴,yin1,(of weather) overcast/Yin/feminine/moon/cloudy/negative (electric.)/shady
986,园,yuan2,garden
987,谋,mou2,to plan/seek/scheme
988,宋,song4,(surname)/name of a dynasty
989,避,bi4,avoid/shun/flee/escape/leave/to keep away/to leave/to hide
990,抓,zhua1,to grab/to catch/to arrest/to snatch
991,荣,rong2,glory/honored
992,姑,gu1,paternal aunt
993,孙,sun1,grandson
994,逃,tao2,to escape/to run away/to flee
995,牙,ya2,tooth/ivory
996,束,shu4,bunch/(a measure word)/to bind/to control
997,跳,tiao4,jump/hop/skip (a grade)/to leap/to bounce/to beat
998,顶,ding3,"go against/most/peak/top/to replace/to substitute/a measure word (use with ""hat"")"
999,玉,yu4,jade
1000,镇,zhen4,composed/small town/to suppress/to press down/to post
1001,雪,xue3,snow
1002,午,wu3,11 a.m.-1 p.m./7th earthly branch/noon
1003,练,lian4,to practice/to train/to perfect (one's skill)/to drill
1004,迫,po4,to force/to compel/pressing/urgent
1005,爷,ye2,grandpa/etc./old gentleman
1006,篇,pian1,sheet/piece of writing/(a measure word)/chapter/article
1007,肉,rou4,meat/flesh
1008,嘴,zui3,mouth
1009,馆,guan3,house/establishment
1010,遍,bian4,a time/everywhere/turn/all over/one time
1011,凡,fan2,ordinary/every/all/whatever/worldly
1012,础,chu3,foundation/base
1013,洞,dong4,cave/hole
1014,卷,juan3/juan4,"to roll (up)/to sweep up/to carry on, coil/to roll, chapter/examination paper"
1015,坦,tan3,flat/open-hearted/level/smooth
1016,牛,niu2,ox/cow/bull
1017,宁,ning2,peaceful/rather
1018,纸,zhi3,paper
1019,诸,zhu1,(surname)/all/many/various
1020,训,xun4,example/pattern/to teach/to train/instruction
1021,私,si1,personal/private/selfish
1022,庄,zhuang1,farm/village
1023,祖,zu3,ancestor/forefather/grandparents
1024,丝,si1,silk/thread/trace
1025,翻,fan1,flit about/translate/turn over
1026,暴,bao4,sudden/violent/cruel/to show or expose/to injure
1027,森,sen1,forest
1028,塔,ta3,pagoda/tower
1029,默,mo4,silent/write from memory
1030,握,wo4,shake hands/to hold/to grasp
1031,戏,xi4,trick/drama/play/show
1032,隐,yin3,secret/hidden/concealed
1033,熟,shu2,familiar/skilled/ripe/done/ripe/cooked
1034,骨,gu3,bone
1035,访,fang3,inquire/seek/visit
1036,弱,ruo4,weak/feeble/young/inferior
1037,蒙,meng1/meng2/meng3,"deceive/cheat/hoodwink, drizzle/mist, dim sighted/ignorant, Mongolia/cover"
1038,歌,ge1/ge1ge,song
1039,店,dian4,inn/shop/store
1040,鬼,gui3,ghost/sly/crafty
1041,软,ruan3,soft/flexible
1042,典,dian3,canon/dictionary
1043,欲,yu4,"desire/wish, desire/longing/appetite/wish"
1044,萨,sa4,(surname)/Bodhisattva
1045,伙,huo3,assistant/furniture/partner
1046,遭,zao1,a time/incident/meet by chance/turn
1047,盘,pan2,"big/wooden tray, dish/tray/to build/to check/to examine/to transfer/(a measure word used for dishes of food or coils of wire)/to coil"
1048,爸,ba4,father/dad/pa/papa
1049,扩,kuo4,enlarge
1050,盖,gai4/ge3,"lid/top/cover/canopy/to build, (surname)"
1051,弄,long4/nong4,"lane/alley, to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with"
1052,雄,xiong2,heroic/male
1053,稳,wen3,settled/steady/stable
1054,忘,wang4,to forget/to overlook/to neglect
1055,亿,yi4,a hundred million/calculate
1056,刺,ci4,thorn/sting/prick/pierce/stab/thrust/assassinate/murder
1057,拥,yong1,(v) gather round/rush in/crowd/throng/to hold/crowded/to support
1058,徒,tu2,apprentice/disciple
1059,姆,mu3,governess
1060,杨,yang2,(surname)/poplar
1061,齐,qi2,(surname)/even/to make even
1062,赛,sai4,to compete/competition/match
1063,趣,qu4,interesting/to interest
1064,曲,qu1/qu3,"bent/crooked/wrong, tune/song"
1065,刀,dao1,knife
1066,床,chuang2,bed/couch/(a measure word)
1067,迎,ying2,to welcome
1068,冰,bing1,ice
1069,虚,xu1,devoid of content/void/false/empty/vain
1070,玩,wan2/wan4,"curios/antiques/to play/to amuse oneself, curios/antiques"
1071,析,xi1,to separate/to divide/to analyze
1072,窗,chuang1,shutter/window
1073,醒,xing3,to wake up/to be awake
1074,妻,qi1/qi4,"wife, to marry off (a daughter)"
1075,透,tou4,to penetrate/thorough/penetrating/to pass through/to pierce
1076,购,gou4,to buy/to purchase
1077,替,ti4,to substitute for/to take the place of/to replace/for/on behalf of/to stand in for
1078,塞,sai1/sai4/se4,"stop up/to squeeze in/to stuff/Serb (abbr.)/Serbian, strategic pass, piston/unenlightened"
1079,努,nu3,to exert/to strive
1080,休,xiu1,to rest
1081,虎,hu3,tiger
1082,扬,yang2,hurl/to raise/to scatter
1083,途,tu2,way/route/road
1084,侵,qin1,to invade/to infringe/to approach
1085,刑,xing2,punishment
1086,绿,lu:4/lv4,green/chlorine
1087,兄,xiong1,elder brother
1088,迅,xun4,rapid
1089,套,tao4,"to cover/covering/case/cover/(a measure word, a set of something)/sheath"
1090,贸,mao4,commerce/trade
1091,毕,bi4,the whole of/to finish/to complete/complete/full/finished
1092,唯,wei2/wei3,"-ism/only/alone, yes"
1093,谷,gu3/yu4,"grain/corn, valley, (surname)"
1094,轮,lun2,wheel/gear/(by) turn/rotate
1095,库,ku4,warehouse/storehouse
1096,迹,ji1/ji4,"footprint/mark/trace/vestige/sign/indication, footprint/trace"
1097,尤,you2,outstanding/particularly/especially
1098,竞,jing4,to compete/to contend/to struggle
1099,街,jie1,street
1100,促,cu4,to hurry/to rush/to hasten/near/to promote
1101,延,yan2,to prolong/to extend/to delay
1102,震,zhen4,shake/shock/sign in trigram
1103,弃,qi4,abandon/relinquish/to discard/to throw away
1104,甲,jia3,"""A"" (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/1st heavenly stem/1st in order/armor"
1105,伟,wei3,big/large/great
1106,麻,ma2,(to have) pins and needles/tingling/hemp/numb/to bother
1107,川,chuan1,river/creek/plain/an area of level country
1108,申,shen1,(surname)/3-5 p.m./9th earthly branch/extend/to state/to explain
1109,缓,huan3,slow/sluggish/gradual/to postpone
1110,潜,qian2,hidden/latent/secret/to hide/to conceal/secret/hidden/to submerge
1111,闪,shan3,flash/lightning
1112,售,shou4,to sell
1113,灯,deng1,lamp/light
1114,针,zhen1,"injection/needle/pin, needle"
1115,哲,zhe2,philosophy/wise
1116,络,lao4/luo4,"small net, net-like"
1117,抵,di3,hold up/on the whole/push against/to support/to resist/to reach/to arrive/mortgage
1118,朱,zhu1,"(surname)/vermilion, vermilion"
1119,埃,ai1,dirt/dust/angstrom
1120,抱,bao4,to hold/to carry (in one's arms)/to hug or embrace/surround/cherish
1121,鼓,gu3,convex/drum/to rouse/to beat
1122,植,zhi2,to plant
1123,纯,chun2,pure/simple/unmixed/genuine
1124,夏,xia4,summer/Xia (proper name)
1125,忍,ren3,to beat/to endure/to tolerate
1126,页,ye4,page/leaf
1127,杰,jie2,hero/heroic
1128,筑,zhu2/zhu4,build/five-string lute
1129,折,she2/zhe2,"broken (as of rope, stick), tenth (in price)/to break/to fold/to turn"
1130,郑,zheng4,(surname)
1131,贝,bei4,cowries/shell/valuables/shellfish
1132,尊,zun1,to honor
1133,吴,wu2,(surname)/province of Jiangsu
1134,秀,xiu4,handsome/elegant
1135,混,hun2/hun4,"confused/dirty/mix, to mix/to get along/thoughtless"
1136,臣,chen2,statesman/vassal/courtier/minister/official
1137,雅,ya3,elegant
1138,振,zhen4,rouse
1139,染,ran3,to catch (a disease)/dye
1140,盛,cheng2/sheng4,"to hold/contain/to ladle/pick up with a utensil, (surname)/flourishing"
1141,怒,nu4,indignant
1142,舞,wu3,to dance/to wield/to brandish
1143,圆,yuan2,circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (Yuan)/tactful/to justify
1144,搞,gao3,to do/to make/to go in for/to set up/to get hold of/to take care of
1145,狂,kuang2,conceited/mad
1146,措,cuo4,put in order/arrange/administer/execute/take action on
1147,姓,xing4,surname/family name/name
1148,残,can2,destroy/spoil/ruin/injure/cruel/oppressive/savage/incomplete/disabled
1149,秋,qiu1,"autumn/fall/harvest time/a swing, a swing"
1150,培,pei2,to cultivate/to earth up
1151,迷,mi2,bewilder/crazy about/fan/enthusiast/lost/confused
1152,诚,cheng2,honest/sincere/true
1153,宽,kuan1,lenient/wide/broad
1154,宇,yu3,room/universe
1155,猛,meng3,ferocious/suddenly/fierce/violent/abrupt
1156,摆,bai3,pendulum/to place/to display/to swing/to oscillate/to show/to move/to exhibit
1157,梅,mei2,plum flower
1158,毁,hui3,"to destroy/to damage/to ruin, blaze/destroy by fire, defame/to slander"
1159,伸,shen1,to stretch/to extend
1160,摩,mo2,rub
1161,盟,meng2,oath/pledge/union/to ally
1162,末,mo4,end/final stage/latter part
1163,乃,nai3,to be/thus/so/therefore/then/only/thereupon
1164,悲,bei1,sad/sadness/sorrow/grief
1165,拍,pai1,to clap/to pat/to beat/to hit/to slap/to take (a picture)
1166,丁,ding1,(surname)/4th heavenly stem/a Chinese surname
1167,赵,zhao4,(surname)
1168,硬,ying4,hard/stiff/strong/firm
1169,麦,mai4,(surname)/wheat/barley/oats
1170,蒋,jiang3,(surname)
1171,操,cao1,to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage
1172,耶,ye1,(final part.)/(phonetic)
1173,阻,zu3,to hinder/to block/to obstruct
1174,订,ding4,"to agree/to conclude/to draw up/to subscribe to (a newspaper, etc.)/to order"
1175,彩,cai3,"(bright) color/variety/applause/applaud/(lottery) prize, colored/variegated"
1176,抽,chou1,to draw out/to smoke (cigarettes)/to pump
1177,赞,zan4,"to praise, to patronize/to support/to praise"
1178,魔,mo2,devil
1179,纷,fen1,numerous/confused/disorderly
1180,沿,yan2/yan4,"along, riverside (with -r)"
1181,喊,han3,call/cry/to shout
1182,违,wei2,to disobey/to violate/to separate/to go against
1183,妹,mei4,younger sister
1184,浪,lang4,wave/breaker/unrestrained/dissipated
1185,汇,hui4,"remit/to converge (of rivers)/to exchange, class/collection"
1186,币,bi4,money/coins/currency
1187,丰,feng1,"buxom/good-looking/appearance and carriage of a person, (surname)/abundant/plentiful/great"
1188,蓝,la/lan2,"kohlrabi, blue"
1189,殊,shu1,unique
1190,献,xian4,to offer
1191,桌,zhuo1,table
1192,啦,la1/la,"(onomat.)/(phonetic), (an auxiliary word performing the grammatical functions of mood)/fusion of le + a"
1193,瓦,wa3,tile
1194,莱,lai2,Chenopodium album
1195,援,yuan2,to help/to assist/to aid
1196,译,yi4,to translate/to interpret
1197,夺,duo2,rob/snatch
1198,汽,qi4,steam/vapor
1199,烧,shao1,to burn/to cook/to stew/to bake/to roast/fever
1200,距,ju4,at a distance of/distance/to be apart
1201,裁,cai2,cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment
1202,偏,pian1,one-sided/to lean/to slant/prejudiced/inclined to one side
1203,符,fu2,mark/sign/talisman/to seal/to correspond (to)/tally/symbol/written charm/to coincide
1204,勇,yong3,brave
1205,触,chu4,knock against/touch/to feel
1206,课,ke4,subject/class/lesson
1207,敬,jing4,to respect/to venerate/to salute/to offer
1208,哭,ku1,to cry/to weep
1209,懂,dong3,to understand/to know
1210,墙,qiang2,wall
1211,袭,xi2,inherit/raid/suit of clothes
1212,召,shao4/zhao4,"(surname)/name of an ancient state, to call together/to summon/to convene"
1213,罚,fa2,to punish/to penalize
1214,侠,xia2,heroic
1215,厅,ting1,(reception) hall/office
1216,拜,bai4,to pay respect/worship/visit/salute
1217,巧,qiao3,opportunely/coincidentally/as it happens/skillful/timely
1218,侧,ce4/zhai1,"the side/to incline towards/to lean/inclined/lateral/side, lean on one side"
1219,韩,han2,South Korea/Korean/Japan-annexed Korea
1220,冒,mao4,brave/bold/to cover
1221,债,zhai4,debt
1222,曼,man4,handsome/large/long
1223,融,rong2,harmonious/melt/mild
1224,惯,guan4,accustomed to/used to
1225,享,xiang3,enjoy
1226,戴,dai4,"to put on/to respect/to bear/to support/wear (glasses, hat, gloves)"
1227,童,tong2,(surname)/boy/child/children
1228,犹,you2,Jew/as if/still/to scheme
1229,乘,cheng2,ride/mount/make use of/take advantage of/multiply/to avail of/to ride
1230,挂,gua4,"hang/suspend, to hang/to put up/to suspend"
1231,奖,jiang3,prize/award/encouragement
1232,绍,shao4,connect/to introduce
1233,厚,hou4,generous/thick (for flat things)
1234,纵,zong1/zong4,"vertical, even if/release"
1235,障,zhang4,to block/to hinder/to obstruct
1236,讯,xun4,to question/to ask/to interrogate/rapid/speedy/fast/news/information
1237,涉,she4,involve/concern/wade/to experience
1238,彻,che4,pervade/penetrate/pass through/thorough/penetrating
1239,刊,kan1,to print/publish
1240,丈,zhang4,ten feet
1241,爆,bao4,to crack/to explode or burst
1242,乌,wu1,a crow/black
1243,役,yi4,service
1244,描,miao2,depict/to trace (a drawing)/to copy/to touch up
1245,洗,xi3,to wash/to bathe
1246,玛,ma3,agate/cornelian
1247,患,huan4,misfortune/suffer (from illness)/trouble/danger/worry/to contract (a disease)
1248,妙,miao4,clever/wonderful
1249,镜,jing4,mirror
1250,唱,chang4,sing/to call loudly/to chant
1251,烦,fan2,feel vexed/to bother
1252,签,qian1,"sign one's name, a note/a stick/sign one's name"
1253,仙,xian1,immortal
1254,彼,bi3,that/those/(one) another)
1255,弗,fu2,not
1256,症,zheng1/zheng4,"obstruction of bowels, disease/illness"
1257,仿,fang3,"to imitate/to copy, imitate, seemingly"
1258,倾,qing1,to overturn/to collapse/to lean/to tend/to incline/to pour out
1259,牌,pai2,cards/game pieces/signboard/plate/tablet
1260,陷,xian4,to fall/trap
1261,鸟,niao3,bird
1262,轰,hong1,explosion/bang/boom/rumble/strike (by thunder or a bomb)
1263,咱,za2/zan2,"we (incl.), we (incl.)"
1264,菜,cai4,dish (type of food)/vegetables
1265,闭,bi4,to close/stop up/shut/obstruct
1266,奋,fen4,exert oneself
1267,庆,qing4,celebrate
1268,撤,che4,remove/take away/withdraw
1269,泪,lei4,tears
1270,茶,cha2,tea/tea plant
1271,疾,ji2,sickness/disease/hate/envy
1272,缘,yuan2,along/predestined affinity/reason/edge
1273,播,bo1,sow/scatter/spread/broadcast
1274,朗,lang3,clear/bright
1275,杜,du4,(surname)/fabricate/restrict/to prevent
1276,奶,nai3,breast/lady/milk
1277,季,ji4,season/period
1278,丹,dan1,red/pellet/powder/cinnabar
1279,狗,gou3,dog
1280,尾,wei3,tail
1281,仪,yi2,apparatus/rites/appearance/present/ceremony
1282,偷,tou1,to steal/to pilfer
1283,奔,ben1/ben4,"to hurry or rush/to run quickly/to elope, go to/towards"
1284,珠,zhu1,bead/pearl
1285,虫,chong2,"insect/worm, an animal/an invertebrate/a worm/an insect"
1286,驻,zhu4,resident in/stationed in/located at/to station (troops)
1287,孔,kong3,(surname)/hole
1288,宜,yi2,proper/should/suitable/appropriate
1289,艾,ai4,(surname)/Artemisia vulgaris/Chinese mugwort
1290,桥,qiao2,bridge
1291,淡,dan4,insipid/diluted/weak/light in color/tasteless/fresh/indifferent/nitrogen
1292,翼,yi4,wing
1293,恨,hen4,to hate
1294,繁,fan2,complicated/many/in great numbers
1295,寒,han2,cold/poor/to tremble
1296,伴,ban4,a partner/companion or associate/to accompany/comrade
1297,叹,tan4,to sigh
1298,旦,dan4,dawn/morning/day-break/day
1299,愈,yu4,"heal/the more...the more/to recover/better, heal"
1300,潮,chao2,tide/current/damp/moist/humid
1301,粮,liang2,provisions
1302,缩,suo1,to withdraw/to pull back/to contract/to shrink/to reduce
1303,罢,ba4/ba,"to stop/cease/dismiss/suspend/to quit/to finish, (final part.)"
1304,聚,ju4,form gathering/gather
1305,径,jing4,path
1306,恰,qia4,exactly/just
1307,挑,tiao1/tiao3,"carry on a pole/choose, incite"
1308,袋,dai4,a pouch/bag/sack/pocket
1309,灰,hui1,gray/ash
1310,捕,bu3,to catch/to seize/to capture/to catch
1311,徐,xu2,slow/gentle/Xu (a surname)
1312,珍,zhen1,precious thing/treasure
1313,幕,mu4,stage curtain/tent
1314,映,ying4,reflect/shine
1315,裂,lie4,crack/split
1316,泰,tai4,safe/peaceful/most/Thai(land)/grand
1317,隔,ge2,to separate/to stand or lie between/to divide/to cut off
1318,启,qi3,to open/to start
1319,尖,jian1,point (of needle)/sharp/shrewd/pointed
1320,忠,zhong1,loyal
1321,累,lei2/lei3/lei4,"cumbersome, accumulate, implicate/tired"
1322,炎,yan2,flame/inflammation/-itis
1323,暂,zan4,temporarily
1324,估,gu1/gu4,"estimate, old/second-hand (clothes)"
1325,泛,fan4,"broad/vast/float/pan-, float/general/vague"
1326,荒,huang1,out of practice/uncultivated
1327,偿,chang2,to compensate/pay back/to recompense
1328,横,heng2/heng4,"horizontal/across/(horizontal character stroke), unruly"
1329,拒,ju4,to resist/to repel/to refuse
1330,瑞,rui4,lucky/auspicious/propitious/rayl (acoustical unit)
1331,忆,yi4,remember
1332,孤,gu1,lone/lonely
1333,鼻,bi2,nose
1334,闹,nao4,make noise or disturbance
1335,羊,yang2,(surname)/sheep
1336,呆,dai1,"foolish/stupid/no expression/stay, stay/stupid"
1337,厉,li4,severe
1338,衡,heng2,to weigh/weight/measure
1339,胞,bao1,the placenta/womb
1340,零,ling2,remnant/zero
1341,穷,qiong2,exhausted/poor
1342,舍,she3/she4,"give up/abandon, residence"
1343,码,ma3,a weight/number/yard/pile/stack
1344,赫,he4,(surname)/awe-inspiring
1345,婆,po2,grandmother/matron/mother-in-law
1346,魂,hun2,soul
1347,灾,zai1,disaster/calamity
1348,洪,hong2,flood
1349,腿,tui3,leg
1350,胆,dan3,the gall/the nerve/courage/guts/gall bladder
1351,津,jin1,Tianjin/ferry
1352,俗,su2,vulgar
1353,辩,bian4,dispute/debate/argue/discuss
1354,胸,xiong1,chest/bosom/heart/mind/thorax
1355,晓,xiao3,dawn/to know/to tell (sb sth)/dawn
1356,劲,jin4/jing4,"strength, stalwart/sturdy"
1357,贫,pin2,poor
1358,仁,ren2,humane
1359,偶,ou3,accidental/image/pair/mate
1360,辑,ji2,gather up/collect/edit/compile
1361,邦,bang1,a state/country or nation
1362,恢,hui1,to restore/to recover/great
1363,赖,lai4,disclaim/rely/to blame
1364,圈,juan1/juan4/quan1,"to confine/enclose, pen (pig)/a fold, circle/ring/loop"
1365,摸,mo1/mo2,"feel with the hand/to touch/to stroke/to grope/to feel (one's pulse), imitate/copy"
1366,仰,yang3,look up
1367,润,run4,smooth/moist
1368,堆,dui1,a pile/a mass/heap/stack
1369,碰,peng4,to touch/to meet with/to bump
1370,艇,ting3,small boat
1371,稍,shao1,somewhat/a little
1372,迟,chi2,late/delayed/slow
1373,辆,liang4,(a measure word for vehicles)
1374,废,fei4,abolish/crippled
1375,净,jing4,"clean, clean/completely/only"
1376,凶,xiong1,"fierce, fierce/terrible/ominous"
1377,署,shu3,office/bureau
1378,壁,bi4,wall/rampart
1379,御,yu4,"defend/imperial/to drive, defend/resist"
1380,奉,feng4,to receive (from superior)/to offer/to revere
1381,旋,xuan2/xuan4,"revolve, lathe/specially for an occasion"
1382,冬,dong1,winter
1383,矿,kuang4,ore/mine
1384,抬,tai2,to lift/to raise/(of two or more persons) to carry
1385,蛋,dan4,egg/oval shaped
1386,晨,chen2,morning/dawn/daybreak
1387,伏,fu2,conceal (ambush)/prostrate/submit
1388,吹,chui1,to blow/blast/puff/boast/brag/end in failure
1389,鸡,ji1,fowl/chicken
1390,倍,bei4,"(two, three, etc) -fold/times (multiplier)/double/to increase or multiply"
1391,糊,hu2/hu4,"muddled/paste/scorched, paste/cream"
1392,秦,qin2,(surname)/name of a dynasty
1393,盾,dun4,shield
1394,杯,bei1,cup/a measure word
1395,租,zu1,rent/taxes
1396,骑,qi2,to ride (an animal or bike)/to sit astride
1397,乏,fa2,short of/tired
1398,隆,long1/long2,"sound of drums, grand/intense/prosperous/start (a fire)"
1399,诊,zhen3,examine or treat medically
1400,奴,nu2,slave
1401,摄,she4,assist/collect/absorb
1402,丧,sang1/sang4,"mourning/funeral, lose (by death)"
1403,污,wu1,"see 污, dirt/filth"
1404,渡,du4,to cross/to pass through/to ferry
1405,旗,qi2,banner/flag
1406,甘,gan1,(surname)/sweet
1407,耐,nai4,to be unbearable/unable to endure
1408,凭,ping2,lean against/proof/to rely on/to depend on/to be based on
1409,扎,za1/zha1/zha2,"to tie/to bind, tie with string or ribbon/bind with rope or cord/to stop, to prick/to run or stick (a needle, etc.) into, penetrating (as of cold)/struggle"
1410,抢,qiang1/qiang3,"against wind, fight over/to rush/to scramble/to grab/to rob/to snatch"
1411,绪,xu4,beginnings/clues/mental state/thread
1412,粗,cu1,coarse/rough/thick/unfinished/vulgar/rude/crude
1413,肩,jian1,shoulder
1414,梁,liang2,"(surname)/beam of roof/bridge, beam of roof"
1415,幻,huan4,fantasy
1416,菲,fei1,rich/luxurious/phenanthrene (chemical)/Philippines
1417,皆,jie1,all/each and every/in all cases
1418,碎,sui4,to break down/to break into pieces/fragmentary
1419,宙,zhou4,universe
1420,叔,shu1,uncle in direct address
1421,岩,yan2,"cliff/rock, cliff"
1422,荡,dang4,a pond/pool/wash/squander/sweep away/move/shake/dissolute
1423,综,zong1,to sum up
1424,爬,pa2,crawl/climb
1425,荷,he2/he4,"lotus, peppermint/to carry burden"
1426,悉,xi1,in all cases/know
1427,蒂,di4,stem (of fruit)
1428,返,fan3,to return (to)
1429,井,jing3,warn/well
1430,壮,zhuang4,to strengthen/strong/robust
1431,薄,bo2/bo4/bao2,"mean/slight/thin, thin/slight/meagre/small/ungenerous/unkind/mean/frivolous/despise/belittle/to approach/to go near/peppermint"
1432,悄,qiao3/qiao1,quiet/sad
1433,扫,sao3/sao4,"to sweep, broom"
1434,敏,min3,keen
1435,碍,ai4,to hinder/to obstruct/to block
1436,殖,zhi2,grow/reproduce
1437,详,xiang2,detailed/comprehensive
1438,迪,di2,direct/follow
1439,矛,mao2,spear/lance/pike
1440,霍,huo4,(surname)/cholera
1441,允,yun3,just/fair/to permit/to allow
1442,幅,fu2,(measure word for textile or picture)/width/roll
1443,撒,sa1/sa3,"let go, to scatter"
1444,剩,sheng4,have as remainder
1445,凯,kai3,triumphant/victorious
1446,颗,ke1,(measure word for small spheres)
1447,骂,ma4,scold/abuse
1448,赏,shang3,enjoy the beauty of/give
1449,液,ye4,liquid/fluid
1450,番,fan1/pan1,"(measure word for acts)/deeds/foreign, (surname)/place name"
1451,箱,xiang1,box/trunk/chest
1452,贴,tie1,to stick/to paste/to keep close to/to fit snugly/subsidize/allowance
1453,漫,man4,free/unrestrained/inundate
1454,酸,suan1,sour/sore/ache/acid
1455,郎,lang2,(surname)/a youth
1456,腰,yao1,waist
1457,舒,shu1,(surname)/relax
1458,眉,mei2,eyebrow/upper margin
1459,忧,you1,worried
1460,浮,fu2,to float
1461,辛,xin1,8th heavenly stem/tired
1462,恋,lian4,feel attached to/long for/love
1463,餐,can1,eat/meal
1464,吓,xia4,to frighten/to scare/to intimidate/to threaten
1465,挺,ting3,be straight and stiff/rather (good)
1466,励,li4,exhort
1467,辞,ci2,bid farewell/diction/resign/say goodbye/take leave/decline
1468,艘,sao1/sou1,"measure word for warships (Taiwan pronunciation), measure word for boats and ships (mainland pronunciation)"
1469,键,jian4,(door lock) key
1470,伍,wu3,associate with/five/company
1471,峰,feng1,peak/summit
1472,尺,chi3,a Chinese foot (M)/one-third of a meter/a ruler/a note musical note on traditional Chinese scale
1473,昨,zuo2,yesterday
1474,黎,li2,(surname)/black/abbreviation for Lebanon
1475,辈,bei4,contemporaries/generation/lifetime
1476,贯,guan4,pierce/to string
1477,侦,zhen1,to scout/to spy
1478,滑,gu3/hua2,"comical, comical/cunning/slippery/smooth"
1479,券,quan4,deed/bond/contract/ticket
1480,崇,chong2,high/dignified/lofty/to honor
1481,扰,rao3,disturb
1482,宪,xian4,statute/constitution
1483,绕,rao4,go around/to wind (around)
1484,趋,qu1,to hasten/to hurry/walk fast
1485,慈,ci2,compassionate/gentle/merciful/kind/humane
1486,乔,qiao2,tall
1487,阅,yue4,peruse/review/to read
1488,汗,han4,perspiration/sweat
1489,枝,zhi1,branch/(a measure word)
1490,拖,tuo1,dragging (brush stroke in painting)/to drag along
1491,墨,mo4,China ink/ink stick
1492,胁,xie2,side of body/threaten
1493,插,cha1,insert/stick in/pierce/to take part in/to interfere/to interpose
1494,箭,jian4,arrow
1495,腊,la4,"preserved (meat), December/preserved (meat)"
1496,粉,fen3,dust/powder
1497,泥,ni2/ni4,"mud/paste/pulp, restrained"
1498,氏,shi4,clan name/maiden name
1499,彭,peng2,(surname)
1500,拔,ba2,pull up/pull out/select/promote
1501,骗,pian4,to cheat/to swindle/to deceive/to fool
1502,凤,feng4,phoenix
1503,慧,hui4,intelligent
1504,媒,mei2,medium/intermediary/matchmaker/go-between
1505,佩,pei4,"to respect/wear (belt, etc.), girdle ornaments"
1506,愤,fen4,indignant/anger/resentment
1507,扑,pu1,"to rush at/to throw oneself on, rush on"
1508,龄,ling2,age
1509,驱,qu1,to expel/to urge on/to drive/to run quickly
1510,惜,xi1,"pity, regret, rue, begrudge"
1511,豪,hao2,grand/heroic
1512,掩,yan3,cover up/to surprise
1513,兼,jian1,double/twice/simultaneous/holding two or more (official) posts at the same time
1514,跃,yue4,to jump/to leap
1515,尸,shi1,corpse
1516,肃,su4,Gansu/respectful
1517,帕,pa4,handkerchief
1518,驶,shi3,hasten/proceed to/sail a vessel
1519,堡,bao3/pu4,"an earthwork/castle/position of defense/stronghold, character used in place names"
1520,届,jie4,"arrive at (place or time)/period/to become due/measure words for events (e.g., meetings, elections)"
1521,欣,xin1,happy
1522,惠,hui4,favor/kind act (from above)
1523,册,ce4,book/a measure word for books/booklet
1524,储,chu3,savings/to save/to deposit/to store/(a surname)
1525,飘,piao1,to float
1526,桑,sang1,mulberry tree
1527,闲,xian2,to stay idle/to be unoccupied/not busy/leisure/enclosure
1528,惨,can3,miserable/wretched/cruel/inhuman/seriously/badly/tragic
1529,洁,jie2,clean
1530,踪,zong1,footprint/trace/tracks
1531,勃,bo2,flourishing/prosperous/suddenly/abruptly
1532,宾,bin1,visitor/guest
1533,频,pin2,frequency/frequently/repetitious
1534,仇,chou2/qiu2,"hatred/animosity/enmity/a rival/an enemy/feud, (surname)/match/mate"
1535,磨,mo2/mo4,"to sharpen/to delay/hardship/to grind/to rub, grindstone"
1536,递,di4,to hand over/to pass/to give
1537,邪,xie2,demonical/iniquitous/nefarious
1538,撞,zhuang4,to hit/to strike/to meet by accident/to run into/to bump against/to bump into
1539,拟,ni3,plan to
1540,滚,gun3,to boil/to roll
1541,奏,zou4,present a memorial
1542,巡,xun2,to patrol/to make one's rounds
1543,颜,yan2,(surname)/color/countenance
1544,剂,ji4,dose
1545,绩,ji1/ji4,merit/accomplishment
1546,贡,gong4,tribute/gifts
1547,疯,feng1,insane/mad/wild
1548,坡,po1,slope
1549,瞧,qiao2,look at
